deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,status,indicators
1,2023-06-02 21:35:22,MAGICUSDT,5m,long,9.8,1.0136,1.10157,1.004765,8.68,0.87,1.072,0.9986,loss,
2,2023-06-02 21:50:09,ETHUSDT,5m,long,2.1,1905.62,1926.52,1895.816,1.1,0.51,1910.0,1891.23,loss,
3,2023-06-02 21:50:15,APTUSDT,5m,long,1.86,9.022,9.14588,8.956355,1.37,0.73,9.06,8.9626,loss,
4,2023-06-02 22:40:06,BTCUSDT,5m,long,2.29,27278.75,27605.455,27138.4065,1.2,0.51,27287.64,27141.92,loss,
5,2023-06-02 22:50:22,DYDXUSDT,5m,long,6.06,2.102,2.178,2.08965,3.62,0.59,2.112,2.094,loss,
6,2023-06-02 23:05:26,NEARUSDT,5m,long,1.97,1.612,1.631,1.6025,1.18,0.59,1.633,1.611,win,
7,2023-06-02 23:25:20,MAGICUSDT,5m,long,4.55,1.0651,1.14775,1.04724,7.76,1.68,1.072,1.0485,loss,
8,2023-06-02 23:40:20,MAGICUSDT,5m,long,3.54,1.0693,1.14796,1.04745,7.36,2.04,1.0715,1.0485,loss,
9,2023-06-03 14:15:16,OPUSDT,5m,long,4.92,1.49,1.53275,1.48145,2.87,0.57,1.495,1.482,loss,
10,2023-06-03 14:15:25,NEARUSDT,5m,long,2.07,1.621,1.64095,1.6115,1.23,0.59,1.64,1.611,loss,
11,2023-06-03 14:30:18,OPUSDT,5m,long,3.85,1.492,1.53285,1.48155,2.74,0.7,1.495,1.482,loss,
12,2023-06-03 14:50:20,OPUSDT,5m,short,1.97,1.48,1.4648,1.4876,1.03,0.51,1.474,1.487,loss,
13,2023-06-03 16:00:15,OPUSDT,5m,long,3.48,1.496,1.54635,1.48175,3.37,0.95,1.498,1.481,loss,
14,2023-06-03 16:20:23,DYDXUSDT,5m,short,4.62,2.087,2.02905,2.09935,2.78,0.59,2.051,2.1,loss,
15,2023-06-03 18:40:14,APTUSDT,5m,long,2.26,9.0311,9.18728,8.962985,1.73,0.75,9.0621,8.9572,loss,
16,2023-06-03 20:40:22,DYDXUSDT,5m,short,2.73,2.076,2.0285,2.0931,2.29,0.82,2.051,2.094,loss,
17,2023-06-03 21:10:25,MAGICUSDT,5m,short,5.29,1.0272,0.995565,1.03309,3.08,0.57,0.9947,1.0325,win,
18,2023-06-03 22:25:12,ADAUSDT,5m,short,2.91,0.3736,0.36714,0.375785,1.73,0.58,0.3729,0.379,loss,
19,2023-06-03 22:25:23,DYDXUSDT,5m,short,3.69,2.065,2.02225,2.0764,2.07,0.55,2.051,2.088,loss,
20,2023-06-04 07:45:22,MAGICUSDT,5m,short,2.21,1.0154,0.997255,1.023475,1.79,0.8,1.0031,1.0264,loss,
21,2023-06-04 09:50:15,SOLUSDT,5m,long,5.78,21.7,23.8755,21.3295,10.03,1.71,22.3,21.25,loss,
22,2023-06-04 11:10:11,ADAUSDT,5m,long,37.1,0.381,0.463365,0.378815,21.62,0.57,0.3819,0.375,loss,
23,2023-06-04 12:25:25,NEARUSDT,5m,long,24.83,1.644,1.9556,1.63165,18.95,0.75,1.648,1.629,loss,
24,2023-06-04 12:30:22,DYDXUSDT,5m,long,3.22,2.11,2.1784,2.0891,3.24,0.99,2.149,2.088,loss,
25,2023-06-04 13:10:26,NEARUSDT,5m,long,26.98,1.643,1.95555,1.6316,19.02,0.69,1.648,1.629,loss,
26,2023-06-04 13:20:25,MAGICUSDT,5m,short,3.17,1.023,0.997635,1.030885,2.48,0.77,0.9974,1.0279,win,
27,2023-06-04 13:25:26,NEARUSDT,5m,long,29.52,1.642,1.9555,1.63155,19.09,0.64,1.648,1.629,loss,
28,2023-06-04 13:55:17,APTUSDT,5m,long,25.61,9.1291,11.161245,9.05101,22.26,0.86,9.4228,8.9286,loss,
29,2023-06-04 13:55:24,AVAXUSDT,5m,long,20.37,14.77,16.7365,14.675,13.31,0.64,14.9,14.66,loss,
30,2023-06-04 14:40:27,MAGICUSDT,5m,short,2.92,1.0159,0.99728,1.02217,1.83,0.62,1.0081,1.0225,loss,
31,2023-06-04 14:50:15,APTUSDT,5m,long,25.39,9.2194,11.16576,9.14397,21.11,0.82,9.4228,8.9286,loss,
32,2023-06-04 14:50:16,SOLUSDT,5m,long,14.96,21.71,23.876,21.5675,9.98,0.66,22.3,21.56,loss,
33,2023-06-04 15:10:15,SOLUSDT,5m,long,10.97,21.76,23.8785,21.57,9.74,0.87,22.3,21.56,loss,
34,2023-06-04 16:30:14,SOLUSDT,5m,long,17.47,21.86,23.8835,21.746,9.26,0.52,22.3,21.67,loss,
35,2023-06-04 16:35:15,APTUSDT,5m,long,20.72,9.2405,11.166815,9.149015,20.85,0.99,9.4228,8.9286,loss,
36,2023-06-04 16:55:17,SOLUSDT,5m,long,7.96,22.13,23.897,21.9115,7.98,0.99,22.15,21.9,loss,
37,2023-06-04 17:20:14,APTUSDT,5m,long,23.97,9.3,11.16979,9.22324,20.11,0.83,9.4228,8.9286,loss,
38,2023-06-04 17:30:29,NEARUSDT,5m,short,2.54,1.632,1.60255,1.6434,1.8,0.7,1.628,1.645,loss,
39,2023-06-04 17:50:14,APTUSDT,5m,long,14.45,9.3737,11.173475,9.25115,19.2,1.31,9.3964,9.244,loss,
40,2023-06-04 20:10:16,SOLUSDT,5m,long,4.43,22.28,23.9045,21.919,7.29,1.62,22.3,21.67,loss,
41,2023-06-04 20:20:19,AVAXUSDT,5m,long,19.98,14.81,16.7385,14.715,13.02,0.64,14.89,14.71,loss,
42,2023-06-04 21:45:15,APTUSDT,5m,long,34.27,9.3458,11.17208,9.29336,19.54,0.56,9.3967,9.2868,loss,
43,2023-06-05 13:40:32,GALAUSDT,5m,short,4.23,0.0289,0.0282065,0.0290615,2.4,0.56,0.02887,0.02908,loss,
44,2023-06-05 13:55:35,LINAUSDT,5m,short,3.17,0.015154,0.0144035,0.01538675,4.95,1.54,0.014997,0.015498,loss,
45,2023-06-05 14:05:39,EDUUSDT,5m,long,7.07,1.13533,1.2194715,1.1236165,7.41,1.03,1.13967,1.12,loss,
46,2023-06-05 14:15:36,NEARUSDT,5m,long,29.34,1.644,1.9556,1.63355,18.95,0.64,1.656,1.632,loss,
47,2023-06-05 14:25:32,NEARUSDT,5m,long,35.21,1.65,1.9559,1.64145,18.54,0.52,1.656,1.641,loss,
48,2023-06-05 14:40:25,DYDXUSDT,5m,long,5.23,2.133,2.2793,2.10545,6.86,1.29,2.14,2.103,loss,
49,2023-06-05 15:45:25,MAGICUSDT,5m,short,5.45,0.9795,0.949005,0.98501,3.11,0.56,0.9788,0.9872,loss,
50,2023-06-05 15:45:37,LUNAUSDT,5m,short,5.71,0.8615,0.820175,0.868625,4.8,0.83,0.8604,0.8688,loss,
51,2023-06-05 16:45:32,GALAUSDT,5m,long,2.09,0.02913,0.029776,0.028826,2.22,1.04,0.02924,0.02872,loss,
52,2023-06-05 18:05:08,ETHUSDT,5m,short,3.74,1859.76,1824.3155,1869.0795,1.91,0.5,1820.29,1865.68,win,
53,2023-06-05 18:05:22,DOGEUSDT,5m,short,18.0,0.07105,0.062709,0.071506,11.74,0.64,0.06311,0.07168,loss,
54,2023-06-05 18:05:23,MATICUSDT,5m,short,3.99,0.8816,0.85272,0.888725,3.28,0.81,0.8504,0.883,win,
55,2023-06-05 18:05:34,GALAUSDT,5m,short,2.07,0.02878,0.0282005,0.0290555,2.01,0.96,0.02808,0.02888,win,
57,2023-06-05 18:05:40,PEPEUSDT,5m,short,5.9,1.14e-06,9.12e-07,1.178e-06,20.0,3.33,9.5e-07,1.19e-06,loss,
58,2023-06-05 18:15:09,ETHUSDT,5m,short,4.64,1859.98,1792.8055,1874.2395,3.61,0.77,1786.22,1859.98,win,
59,2023-06-05 18:15:25,MATICUSDT,5m,short,6.03,0.8806,0.85267,0.88516,3.17,0.52,0.8504,0.8806,win,
60,2023-06-05 18:15:40,EDUUSDT,5m,short,9.78,1.08636,0.938293,1.1012655,13.63,1.37,0.93633,1.08636,win,
61,2023-06-05 18:20:21,DOTUSDT,5m,short,16.21,5.211,4.71035,5.2414,9.61,0.58,4.9,5.25,loss,
62,2023-06-05 18:20:42,LUNAUSDT,5m,short,2.31,0.8427,0.82237,0.851345,2.41,1.03,0.8153,0.849,win,
63,2023-06-05 18:40:24,DYDXUSDT,5m,long,6.08,2.183,2.41195,2.14595,10.49,1.7,2.184,2.127,loss,
64,2023-06-05 18:55:24,DOGEUSDT,5m,short,3.74,0.07007,0.066023,0.071134,5.78,1.52,0.065,0.07012,win,
67,2023-06-05 19:05:33,ATOMUSDT,5m,short,3.17,9.925,9.00065,10.2119,9.31,2.89,9.803,10.217,loss,
68,2023-06-05 19:45:38,FILUSDT,5m,short,3.7,4.19,4.0114,4.2375,4.26,1.13,4.137,4.238,loss,
70,2023-06-05 19:50:34,LINAUSDT,5m,long,3.2,0.014552,0.01513245,0.0143734,3.99,1.23,0.014644,0.014337,loss,
71,2023-06-05 19:55:33,ATOMUSDT,5m,short,6.84,10.043,9.00655,10.19215,10.32,1.49,9.803,10.194,loss,
72,2023-06-05 20:05:27,MAGICUSDT,5m,short,2.94,0.8897,0.853315,0.90186,4.09,1.37,0.8501,0.9005,win,
73,2023-06-05 20:05:32,NEARUSDT,5m,short,7.41,1.471,1.3494,1.48715,8.27,1.1,1.47,1.488,loss,
74,2023-06-05 20:05:34,ATOMUSDT,5m,short,4.5,9.976,9.0032,10.1888,9.75,2.13,9.803,10.189,loss,
75,2023-06-05 20:10:13,BNBUSDT,5m,short,2.01,278.0,269.07,282.37,3.21,1.57,272.1,282.9,loss,
76,2023-06-05 20:10:42,JOEUSDT,5m,short,3.25,0.3987,0.38616,0.4025,3.15,0.95,0.3919,0.4206,loss,
77,2023-06-05 20:15:25,MAGICUSDT,5m,short,3.9,0.8902,0.85334,0.89951,4.14,1.05,0.8834,0.9005,loss,
78,2023-06-05 20:15:33,ATOMUSDT,5m,short,4.36,9.97,9.0029,10.1885,9.7,2.19,9.803,10.189,loss,
79,2023-06-05 20:25:26,AVAXUSDT,5m,short,19.35,13.86,12.1785,13.9455,12.13,0.62,13.81,13.95,loss,
80,2023-06-05 20:30:23,MATICUSDT,5m,short,4.4,0.8446,0.825505,0.848875,2.26,0.51,0.8411,0.849,loss,
